Rank	Player	Position	Team
279.70	Keenan Allen	WR	IND
281.90	Eli Raridon	TE	NE
282.30	Cole Kmet	TE	CHI
283.80	Cade Klubnik	QB	NYJ
284.20	Jack Bech	WR	LV
285.50	Dawson Knox	TE	BUF
286.30	Skyler Bell	WR	BUF
287.00	LeQuint Allen	RB	JAX
288.00	Devaughn Vele	WR	NO
289.50	Tyquan Thornton	WR	KC
290.70	Elic Ayomanor	WR	TEN
291.90	Anthony Richardson	QB	IND
292.80	Jameis Winston	QB	NYG
293.60	Andrei Iosivas	WR	CIN
294.10	Brandon Aiyuk	WR	SF
295.00	Max Klare	TE	LAR
295.80	Christian Kirk	WR	SF
297.50	Marvin Mims	WR	DEN
298.30	Najee Harris	RB	NYG
299.00	Kaleb Johnson	RB	PIT
300.50	Joe Mixon	RB	
301.60	Dallas Cowboys	DEF	DAL
302.20	Buffalo Bills	DEF	BUF
303.50	Chase McLaughlin	K	TB
303.50	San Francisco 49ers	DEF	SF
305.60	Wil Lutz	K	DEN
306.50	Chicago Bears	DEF	CHI
307.00	New York Giants	DEF	NYG
308.00	Odell Beckham	WR	NYG
309.40	Seth McGowan	RB	IND
310.10	Adam Randall	RB	BAL
311.30	Joe Flacco	QB	CIN
311.60	KaVontae Turpin	WR	DAL
313.20	Chris Brooks	RB	GB
314.90	Charlie Kolar	TE	LAC
315.30	Ollie Gordon	RB	MIA
316.30	Oscar Delp	TE	NO
317.60	Emari Demercado	RB	KC
318.70	Brenen Thompson	WR	LAC
319.10	Jahan Dotson	WR	ATL
319.20	Justin Joly	TE	DEN
321.20	Darius Slayton	WR	NYG
322.10	Isaiah Davis	RB	NYJ
323.00	Noah Gray	TE	KC
324.40	Xavier Legette	WR	CAR
325.50	Marcus Mariota	QB	WAS
326.30	Zavion Thomas	WR	CHI
327.60	Kyle Williams	WR	NE
327.90	DeMario Douglas	WR	NE
329.00	Ty Johnson	RB	BUF
330.00	Jalen Milroe	QB	SEA
331.60	Brashard Smith	RB	KC
332.50	Devin Neal	RB	NO
333.10	Will Howard	QB	PIT
334.80	Michael Trigg	TE	DAL
335.20	Riley Leonard	QB	IND
335.80	Garrett Nussmeier	QB	KC
336.00	Quinn Ewers	QB	MIA
337.10	Kendre Miller	RB	NO
338.00	Mike Nugent	K	
339.00	Davis Cheek	QB	
339.70	Ja'Tavion Sanders	TE	CAR
340.00	Clayton Tune	QB	
341.00	Randy Bullock	K	
341.70	Jarquez Hunter	RB	LAR
342.00	Blake Watson	RB	
343.00	Greg Zuerlein	K	
343.80	Audric Estime	RB	NO
344.00	DaeSean Hamilton	WR	
345.00	Anders Carlson	K	
346.00	Travell Harris	WR	
347.00	Jonathan Garibay	K	
348.00	Brenden Rice	WR	
349.00	Graham Gano	K	
350.70	Rodrigo Blankenship	K	
351.00	Stephen Hauschka	K	
352.00	Alex Hale	K	
353.00	Christopher Dunn	K	
354.00	Dayton Wade	WR	BAL
355.00	Lamar Jordan	QB	
356.00	Golden Tate	WR	
357.00	Matthew Trickett	K	
358.00	Dane Key	WR	DEN
359.00	Kai Forbath	K	
359.50	Terion Stewart	RB	KC
361.00	Camren McDonald	TE	
362.00	Xavier Guillory	WR	BAL
363.00	Chase Cota	WR	
