Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF
70,Trevor Lawrence,QB,JAX,70.5,4,71.0,81.0,65.0,65.0,
71,Travis Etienne Jr.,RB,NO,70.75,4,89.0,62.0,66.0,66.0,
72,Bo Nix,QB,DEN,71.0,4,67.0,97.0,60.0,60.0,
73,Alec Pierce,WR,IND,77.5,4,77.0,79.0,77.0,77.0,
74,Bhayshul Tuten,RB,JAX,78.0,4,66.0,86.0,80.0,80.0,
75,Terry McLaurin,WR,WAS,78.75,4,70.0,63.0,91.0,91.0,
76,Jordan Addison,WR,MIN,79.5,4,80.0,76.0,81.0,81.0,
77,DJ. Moore,WR,BUF,80.75,4,73.0,72.0,89.0,89.0,
78,Brock Purdy,QB,SF,81.75,4,85.0,92.0,75.0,75.0,
79,Wan'Dale Robinson,WR,TEN,83.33,3,84.0,,83.0,83.0,
80,Christian Watson,WR,GB,84.75,4,98.0,77.0,82.0,82.0,
81,D'Andre Swift,RB,CHI,85.75,4,90.0,85.0,84.0,84.0,
82,Kenyon Sadiq,TE,NYJ,86.0,4,88.0,82.0,87.0,87.0,
83,RJ Harvey,RB,DEN,86.0,4,96.0,104.0,72.0,72.0,
84,Parker Washington,WR,JAX,86.5,4,81.0,73.0,96.0,96.0,
85,Davante Adams,WR,LAR,88.0,4,72.0,100.0,90.0,90.0,
86,Jayden Higgins,WR,HOU,88.0,4,91.0,57.0,102.0,102.0,
87,Kyle Monangai,RB,CHI,90.0,4,93.0,91.0,88.0,88.0,
88,AJ. Brown,WR,NE,90.2,5,241.0,61.0,51.0,51.0,47.0
89,Michael Wilson,WR,ARI,91.0,4,105.0,103.0,78.0,78.0,
90,Ricky Pearsall,WR,SF,92.0,3,100.0,90.0,86.0,,
91,DK. Metcalf,WR,PIT,92.25,4,79.0,84.0,103.0,103.0,
92,Omar Cooper Jr.,WR,NYJ,94.25,4,83.0,136.0,79.0,79.0,
93,David Montgomery,RB,HOU,96.5,4,107.0,93.0,93.0,93.0,
94,Fernando Mendoza,QB,LV,96.5,4,82.0,106.0,99.0,99.0,
95,Michael Pittman Jr.,WR,PIT,99.0,4,78.0,108.0,105.0,105.0,
96,Oronde Gadsden II,TE,LAC,99.75,4,180.0,71.0,74.0,74.0,
97,George Kittle,TE,SF,100.5,4,87.0,115.0,100.0,100.0,
98,Jake Ferguson,TE,DAL,100.5,4,104.0,114.0,92.0,92.0,
99,Courtland Sutton,WR,DEN,101.75,4,86.0,101.0,110.0,110.0,
100,Denzel Boston,WR,CLE,102.75,4,92.0,123.0,98.0,98.0,
101,Jaylen Warren,RB,PIT,103.25,4,110.0,95.0,104.0,104.0,
102,Mike Evans,WR,SF,104.25,4,109.0,96.0,106.0,106.0,
103,Dak Prescott,QB,DAL,104.75,4,95.0,98.0,113.0,113.0,
104,Matthew Golden,WR,GB,105.5,4,68.0,132.0,111.0,111.0,
105,Dalton Kincaid,TE,BUF,105.75,4,133.0,120.0,85.0,85.0,
106,Chuba Hubbard,RB,CAR,106.75,4,101.0,112.0,107.0,107.0,
107,Travis Hunter,WR,JAX,107.5,4,99.0,137.0,97.0,97.0,
108,Jakobi Meyers,WR,JAX,110.75,4,106.0,107.0,115.0,115.0,
109,Quentin Johnston,WR,LAC,112.0,4,120.0,110.0,109.0,109.0,
110,Rico Dowdle,RB,PIT,112.75,4,115.0,102.0,117.0,117.0,
111,Isaiah Likely,TE,NYG,113.75,4,138.0,89.0,114.0,114.0,
112,Eli Stowers,TE,PHI,114.0,4,137.0,83.0,118.0,118.0,
113,Josh Downs,WR,IND,114.25,4,123.0,80.0,127.0,127.0,
114,Zach Charbonnet,RB,SEA,114.25,4,128.0,127.0,101.0,101.0,
115,Xavier Worthy,WR,KC,114.75,4,116.0,111.0,116.0,116.0,
116,Rhamondre Stevenson,RB,NE,116.25,4,114.0,109.0,121.0,121.0,
117,Baker Mayfield,QB,TB,117.25,4,174.0,105.0,95.0,95.0,
118,Brenton Strange,TE,JAX,117.75,4,170.0,113.0,94.0,94.0,
119,Chris Bell,WR,MIA,118.0,4,112.0,122.0,119.0,119.0,
120,Blake Corum,RB,LAR,118.25,4,132.0,117.0,112.0,112.0,
121,Jonathon Brooks,RB,CAR,118.5,4,118.0,74.0,141.0,141.0,
122,Germie Bernard,WR,PIT,118.75,4,97.0,134.0,122.0,122.0,
123,Chris Godwin Jr.,WR,TB,120.0,4,126.0,94.0,130.0,130.0,
124,Kenneth Gainwell,RB,TB,122.0,4,117.0,99.0,136.0,136.0,
125,Romeo Doubs,WR,NE,122.25,4,125.0,124.0,120.0,120.0,
126,Khalil Shakir,WR,BUF,127.5,4,121.0,119.0,135.0,135.0,
127,Woody Marks,RB,HOU,128.67,3,122.0,,132.0,132.0,
128,Jayden Reed,WR,GB,129.0,4,152.0,116.0,124.0,124.0,
129,Tyler Allgeier,RB,ARI,130.25,4,147.0,158.0,108.0,108.0,
130,Jalen Coker,WR,CAR,131.0,4,151.0,121.0,126.0,126.0,
131,Jonah Coleman,RB,DEN,131.25,4,141.0,128.0,128.0,128.0,
132,Jalen McMillan,WR,TB,131.5,4,124.0,126.0,138.0,138.0,
133,Chris Brazzell II,WR,CAR,133.33,3,142.0,,129.0,129.0,
134,Tony Pollard,RB,TEN,135.5,4,111.0,125.0,153.0,153.0,
135,Mark Andrews,TE,BAL,137.25,4,130.0,139.0,140.0,140.0,
136,Dallas Goedert,TE,PHI,140.33,3,129.0,,146.0,146.0,
137,Elijah Sarratt,WR,BAL,142.67,3,150.0,,139.0,139.0,
138,Travis Kelce,TE,KC,146.5,4,136.0,140.0,155.0,155.0,
139,Matthew Stafford,QB,LAR,146.75,4,134.0,129.0,162.0,162.0,
140,Jordan Love,QB,GB,148.25,4,131.0,148.0,157.0,157.0,
141,Zachariah Branch,WR,ATL,149.33,3,160.0,,144.0,144.0,
142,Juwan Johnson,TE,NO,150.33,3,189.0,,131.0,131.0,
143,Tre' Harris,WR,LAC,152.33,3,157.0,,150.0,150.0,
144,Trey Benson,RB,ARI,152.33,3,171.0,,143.0,143.0,
145,Rachaad White,RB,WAS,153.5,4,139.0,141.0,167.0,167.0,
146,Terrance Ferguson,TE,LAR,153.5,4,155.0,163.0,148.0,148.0,
147,Malik Willis,QB,MIA,154.0,2,156.0,152.0,,,
148,Jared Goff,QB,DET,154.25,4,168.0,133.0,158.0,158.0,
149,Daniel Jones,QB,IND,154.5,4,119.0,177.0,161.0,161.0,
150,Jordan Mason,RB,MIN,158.25,4,159.0,166.0,154.0,154.0,
151,De'Zhaun Stribling,WR,SF,160.5,4,143.0,131.0,184.0,184.0,
152,Antonio Williams,WR,WAS,161.5,4,161.0,135.0,175.0,175.0,
153,Brian Robinson Jr.,RB,ATL,162.0,4,232.0,,206.0,206.0,4.0
154,Gunnar Helm,TE,TEN,162.75,4,169.0,180.0,151.0,151.0,
155,CJ. Stroud,QB,HOU,163.25,4,265.0,142.0,123.0,123.0,
156,JK. Dobbins,RB,DEN,165.0,4,243.0,151.0,133.0,133.0,
157,Aaron Jones Sr.,RB,MIN,165.5,4,113.0,157.0,196.0,196.0,
158,Jacory Croskey-Merritt,RB,WAS,165.5,4,242.0,146.0,137.0,137.0,
159,Pat Bryant,WR,DEN,165.67,3,179.0,,159.0,159.0,
160,Rashid Shaheed,WR,SEA,165.75,4,190.0,161.0,156.0,156.0,
161,AJ Barner,TE,SEA,167.75,4,249.0,154.0,134.0,134.0,
162,Braelon Allen,RB,NYJ,168.5,4,146.0,188.0,170.0,170.0,
163,Emmett Johnson,RB,KC,168.5,4,227.0,149.0,149.0,149.0,
164,Malachi Fields,WR,NYG,168.67,3,144.0,,181.0,181.0,
