Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF
346,Tyson Bagent,QB,CHI,305.0,3,281.0,,317.0,317.0,
347,Sam Roush,TE,CHI,305.33,3,298.0,,309.0,309.0,
348,Tennessee Titans,DST,TEN,305.6,3,,349.8,291.0,276.0,
349,Davon Booth,RB,CLE,306.0,2,,,306.0,306.0,
350,Bauer Sharp,TE,TB,306.33,3,309.0,,305.0,305.0,
351,Las Vegas Raiders,DST,LV,306.93,3,,357.8,293.0,270.0,
352,Joe Milton III,QB,DAL,309.67,3,303.0,,313.0,313.0,
353,Lance Mason,TE,PIT,310.0,2,,,310.0,310.0,
354,Emmanuel Henderson Jr.,WR,SEA,315.0,3,313.0,,316.0,316.0,
355,New York Jets,DST,NYJ,316.93,4,298.0,357.7,294.0,318.0,
356,DT Sheffield,WR,NYJ,318.0,2,,,318.0,318.0,
357,DJ Rogers,TE,DAL,319.0,2,,,319.0,319.0,
